stability_score,average_monthly_income,income_variance,debt_to_income_ratio,min_income,max_income,loan_amount,loan_term_months,employment_type_encoded,months_of_data,loan_to_income_ratio,stability_anomaly,outcome
70.67,2712.3,632673.78,29.09,1559.15,3579.02,16270,24,1,5,0.5,0,2
55.31,2405.44,1155657.48,16.09,710.57,3835.22,16272,60,1,10,0.56,0,2
80.45,3065.48,359121.74,20.98,2039.59,3813.88,19931,36,3,8,0.54,0,2
39.78,1181.1,505897.33,56.98,300.0,1948.49,24629,48,1,6,1.74,0,0
35.75,3248.28,4355983.01,12.54,315.55,6752.34,17507,60,1,8,0.45,0,1
92.93,5031.75,126531.3,26.04,4486.06,5549.44,29267,24,4,11,0.48,0,2
35.05,2357.47,2344820.99,41.85,721.08,4245.7,10988,12,1,5,0.39,0,0
93.2,5141.1,122038.79,19.69,4539.77,5618.22,42268,48,4,12,0.69,0,2
73.8,4731.48,1537197.75,36.37,3051.86,5963.54,19265,12,2,4,0.34,0,2
0.0,1662.36,3527278.03,27.55,300.0,5116.85,16762,48,1,9,0.84,0,0
31.69,3490.21,5683449.81,18.34,372.86,6004.71,7129,12,1,4,0.17,0,1
35.13,2613.9,2875475.14,13.94,300.0,4705.41,7664,24,2,10,0.24,0,1
96.9,4836.42,22410.81,17.08,4682.24,4981.2,26747,36,4,3,0.46,0,2
51.53,2778.7,1813786.73,21.65,1321.41,4232.71,17358,36,1,4,0.52,0,2
94.8,4991.47,67288.71,4.9,4640.64,5589.42,10224,48,4,12,0.17,0,2
69.92,2407.13,524371.36,39.0,1118.85,3486.98,37010,48,3,10,1.28,0,2
26.41,2300.8,2866391.12,51.95,252.84,5515.23,35471,36,2,9,1.28,0,0
93.91,5082.08,95674.62,30.89,4675.54,5506.14,65552,48,4,11,1.07,0,2
94.01,4937.78,87517.01,32.97,4580.43,5572.82,36365,24,4,12,0.61,0,2
37.31,2206.55,1913539.57,38.4,241.89,3933.09,17473,24,1,10,0.66,0,0
93.63,4767.98,92233.56,18.33,4458.54,5171.18,44132,60,4,7,0.77,0,2
48.99,2145.79,1198053.49,28.34,307.72,3757.89,12544,24,1,10,0.49,0,1
70.9,2452.73,509404.54,10.21,1017.01,3364.94,5426,24,3,10,0.18,0,2
82.46,2574.21,203887.43,42.33,2137.61,3200.67,33768,36,3,4,1.09,0,2
43.5,2262.1,1633453.9,14.95,241.05,3788.9,12376,48,1,9,0.46,0,2
22.7,2443.17,3566264.98,35.1,518.7,4601.82,24741,36,1,5,0.84,0,0
47.0,556.6,87030.01,65.3,300.0,983.83,7570,24,1,5,1.13,0,0
46.06,3498.38,3561290.62,50.38,300.0,6517.59,19733,12,2,10,0.47,0,0
44.1,4224.13,5575255.99,17.92,698.02,7587.25,28211,48,2,6,0.56,0,2
62.29,2480.11,874543.63,2.17,1515.87,4045.5,2265,60,1,7,0.08,0,2
82.04,2600.95,218196.04,46.29,1912.74,3313.38,26089,24,3,12,0.84,0,2
59.89,2154.83,747134.55,33.45,1432.77,3397.63,22340,36,3,4,0.86,0,1
58.85,3973.71,2673667.98,30.43,1474.12,7902.35,35885,36,2,11,0.75,0,2
19.21,2289.6,3421861.43,55.13,300.0,5189.78,13985,12,1,11,0.51,0,0
1.32,2148.31,4494240.51,97.05,227.21,6059.1,23222,12,1,6,0.9,0,0
92.82,4846.38,121098.66,14.62,4503.54,5246.95,35775,60,4,4,0.62,0,2
15.45,2223.51,3534558.47,45.87,300.0,6338.04,21245,24,1,9,0.8,0,0
74.37,2852.35,534309.95,10.76,1836.08,4044.02,9511,36,3,8,0.28,0,2
75.63,2316.23,318552.71,16.7,909.42,3402.4,4399,12,3,12,0.16,0,2
92.53,4887.06,133387.09,21.95,4377.98,5373.83,23964,24,4,7,0.41,0,2
10.71,2946.73,6923077.55,4.1,238.13,6504.54,2517,24,1,8,0.07,0,0
28.23,2242.95,2591404.79,24.47,799.15,3978.75,23590,60,1,3,0.88,0,1
41.2,2587.85,2315364.64,85.39,248.47,4538.99,24482,12,1,9,0.79,0,0
27.52,2343.99,2886026.35,16.74,497.77,4231.87,16867,60,1,7,0.6,0,1
27.97,1967.99,2009168.96,27.41,465.06,4373.51,15559,36,1,6,0.66,0,0
71.34,2567.38,541355.4,25.34,1250.84,3552.88,7399,12,3,10,0.24,0,2
53.09,3041.87,2036154.01,7.06,421.7,4837.88,6371,36,2,9,0.17,0,2
48.32,3225.42,2779015.57,14.82,435.35,5352.48,17821,48,2,12,0.46,0,2
93.08,4837.71,112116.66,9.73,4447.74,5304.31,23776,60,4,5,0.41,0,2
35.87,2101.76,1816655.96,18.63,386.98,4035.32,14327,48,1,6,0.57,0,1
72.95,2122.41,329679.51,25.93,1688.99,3132.19,6261,12,3,5,0.25,0,2
29.85,2311.63,2629530.67,15.73,606.93,3986.64,13310,48,1,4,0.48,0,1
74.49,2737.69,487909.54,21.16,2078.09,4036.05,6590,12,3,9,0.2,0,2
24.75,2738.13,4245972.79,15.63,211.24,4945.11,18392,60,1,6,0.56,0,0
27.98,2217.93,2551331.68,25.61,212.51,4243.62,20789,48,1,9,0.78,0,0
77.48,2557.2,331657.01,24.3,1503.42,3148.47,29243,60,3,9,0.95,0,2
45.4,3060.9,2792799.28,19.69,770.78,5395.68,12679,24,2,8,0.35,0,1
52.54,2851.36,1831340.97,13.64,477.05,5511.51,16709,60,1,12,0.49,0,2
93.95,5082.04,94396.09,32.4,4868.08,5434.09,53331,36,4,3,0.87,0,2
30.28,3383.78,5565964.89,15.03,237.12,7597.8,18615,48,1,12,0.46,0,0
94.25,4926.17,80275.08,48.51,4596.66,5473.87,27617,12,4,11,0.47,0,2
49.38,4095.12,4296462.52,53.67,1702.96,6290.9,24606,12,2,4,0.5,0,0
28.18,2522.36,3281821.63,46.0,409.89,4349.64,12923,12,1,5,0.43,0,0
24.22,3787.87,8240072.83,7.46,1724.52,7910.6,12144,60,1,4,0.27,0,1
9.08,2344.41,4543883.21,27.0,385.32,5378.03,23168,48,1,4,0.82,0,0
54.92,2942.38,1759556.22,15.53,1551.47,4930.76,9423,24,1,6,0.27,0,2
19.2,4328.92,12235847.74,18.7,300.0,6591.76,23690,36,1,3,0.46,0,0
87.37,2533.41,102382.63,12.46,2132.33,2895.13,14851,60,3,5,0.49,0,2
74.1,2522.55,426878.77,21.79,1672.41,3706.12,21673,48,3,10,0.72,0,2
39.51,3190.87,3725570.4,16.82,350.0,6590.4,19283,48,1,11,0.5,0,1
49.76,3911.46,3861484.92,44.54,334.72,5987.89,36643,24,2,10,0.78,0,1
70.46,3134.21,857154.66,37.88,2029.52,4163.61,24973,24,2,4,0.66,0,2
49.54,2210.59,1244101.14,31.14,247.54,3797.95,32399,60,3,10,1.22,0,1
42.89,3176.66,3291118.95,11.47,411.69,6154.91,4058,12,1,10,0.11,0,1
16.24,2168.56,3299501.55,4.52,300.0,5390.09,4217,60,1,8,0.16,0,0
91.59,4966.88,174623.92,63.77,4340.36,5564.35,36604,12,4,8,0.61,0,1
33.03,2214.23,2198910.07,49.71,319.68,4108.69,22700,24,1,10,0.85,0,0
81.33,2244.66,175604.67,103.38,1584.68,2711.23,26394,12,3,7,0.98,0,0
46.88,2993.7,2528953.21,7.55,454.7,4965.65,8121,48,1,8,0.23,0,1
67.91,4704.27,2278645.53,18.46,2282.49,6741.69,9723,12,2,8,0.17,0,2
18.02,1850.95,2302247.96,57.35,300.0,5013.16,31504,36,2,12,1.42,0,0
34.61,2911.35,3623979.36,21.95,282.62,4914.44,28090,60,2,8,0.8,0,0
91.85,5122.24,174316.31,13.74,4652.49,5451.02,29385,48,4,3,0.48,0,2
35.3,2818.94,3326860.9,13.77,300.0,6735.84,17062,60,2,10,0.5,0,1
69.1,4136.7,1634210.4,3.99,2335.51,6018.84,7255,60,2,8,0.15,0,2
94.79,5236.99,74314.19,19.84,4839.43,5622.58,23202,24,4,6,0.37,0,2
31.15,3296.63,5152096.42,4.31,1621.62,6471.93,4154,36,1,4,0.11,0,1
59.71,3310.44,1779240.43,6.47,1265.81,6013.41,4416,24,1,12,0.11,0,2
93.61,4917.1,98713.0,66.39,4499.42,5194.16,72908,24,4,4,1.24,0,1
0.0,2445.4,6311117.24,6.41,300.0,6367.86,4584,36,1,7,0.16,0,0
60.37,2334.27,855647.4,22.87,718.27,3385.92,25126,60,3,12,0.9,0,2
85.5,2608.31,142964.13,21.87,2097.03,3203.64,22492,48,3,9,0.72,0,2
10.66,2305.88,4243712.16,16.9,300.0,5589.49,11569,36,2,9,0.42,0,0
67.76,2288.86,544559.08,47.37,767.14,3097.76,23494,24,3,8,0.86,0,1
82.02,2740.1,242609.42,83.83,2243.13,3746.05,26127,12,3,12,0.79,0,0
36.11,1900.21,1473834.56,25.9,502.55,2692.6,20686,60,1,3,0.91,0,0
42.59,2758.68,2507908.02,18.91,505.47,4465.28,22422,60,1,7,0.68,0,1
22.63,2975.15,5298951.74,10.51,399.82,4832.66,3484,12,1,3,0.1,0,1
28.08,3280.62,5567048.83,6.86,300.0,7176.75,6580,36,1,11,0.17,0,1
95.4,5214.28,57424.25,80.34,4982.71,5721.02,48416,12,4,8,0.77,0,0
0.0,2101.4,4673578.79,40.4,211.36,6266.86,9456,12,1,12,0.37,0,0
96.29,5157.3,36517.02,63.36,4980.76,5484.11,72984,24,4,5,1.18,0,1
63.38,3190.13,1364562.54,9.86,958.59,4863.56,13217,60,1,11,0.35,0,2
8.69,2163.65,3903501.5,20.56,300.0,6370.11,16584,48,2,7,0.64,0,0
35.33,3495.71,5111177.15,18.46,300.0,6236.41,13309,24,1,9,0.32,0,1
30.46,3965.5,7603565.03,14.71,300.0,7879.5,6498,12,1,7,0.14,0,1
44.39,2661.67,2191225.17,44.3,530.21,3938.39,24321,24,1,4,0.76,0,0
26.04,1883.42,1940414.58,60.02,300.0,4888.0,23316,24,1,10,1.03,0,0
63.75,2176.13,622220.42,33.82,1557.7,3064.46,29017,48,3,3,1.11,0,1
56.12,3114.24,1867736.79,3.9,1756.98,4490.09,3607,36,2,3,0.1,0,2
52.8,3406.04,2584891.77,25.79,632.61,5955.45,38605,60,2,10,0.94,0,1
57.85,2955.9,1552575.58,25.19,789.01,4477.94,15659,24,2,7,0.44,0,1
33.02,2700.67,3272297.09,33.85,592.21,5424.37,10128,12,1,8,0.31,0,0
91.06,5030.09,202423.72,40.51,4643.72,5643.54,66000,36,4,4,1.09,0,2
81.01,3829.61,529157.4,19.65,3166.48,4640.8,22335,36,2,4,0.49,0,2
30.45,3913.79,7408561.41,9.29,300.0,8159.42,15626,60,1,8,0.33,0,1
0.0,2721.46,7409367.26,24.25,323.24,6355.4,19307,36,1,10,0.59,0,0
51.72,1681.74,659171.77,31.14,477.43,2494.63,18818,48,1,5,0.93,0,1
95.03,4852.45,58059.73,25.98,4533.23,5099.26,14572,12,4,6,0.25,0,2
0.0,1415.33,2859756.02,22.43,300.0,3361.08,11407,48,1,3,0.67,0,0
55.24,3171.84,2015201.17,12.75,985.54,5308.86,14533,48,1,8,0.38,0,2
77.2,2369.75,291966.27,25.79,1651.77,3241.66,28759,60,3,11,1.01,0,2
60.7,2474.09,945604.57,54.55,596.12,3891.6,15352,12,3,7,0.52,0,1
10.58,2250.85,4051364.09,96.32,300.0,6539.5,24020,12,1,12,0.89,0,0
89.44,2646.7,78093.02,9.94,2325.84,3051.45,12388,60,3,7,0.39,0,2
53.26,2646.62,1530215.18,62.2,425.88,4428.84,18240,12,1,11,0.57,0,0
79.7,2456.35,248615.16,5.86,1712.9,3334.12,6776,60,3,10,0.23,0,2
92.71,2603.17,36009.97,20.06,2457.7,2817.82,20593,48,3,3,0.66,0,2
65.45,2400.65,688087.18,76.16,762.3,3418.45,39624,24,3,12,1.38,0,0
86.96,2577.38,112904.17,30.14,2131.96,3214.39,24077,36,3,11,0.78,0,2
19.77,2581.47,4289879.45,104.24,300.0,5181.78,30127,12,2,8,0.97,0,0
33.88,2358.72,2432242.3,26.91,300.0,4205.25,27893,60,2,6,0.99,0,0
44.85,2313.31,1627434.38,11.26,220.29,4594.86,7512,36,1,10,0.27,0,1
91.99,5052.64,163989.01,20.4,4515.93,5547.8,23021,24,4,9,0.38,0,2
92.4,5234.73,158174.03,28.28,4853.63,5647.19,74758,60,4,3,1.19,0,2
30.01,3349.46,5494973.47,1.78,257.79,6123.02,2561,60,1,7,0.06,0,0
54.81,3756.66,2881508.67,68.98,2143.85,7124.1,29011,12,2,7,0.64,0,0
93.5,4889.37,101059.5,28.46,4685.93,5360.12,58120,48,4,4,0.99,0,2
94.21,5106.03,87545.58,37.42,4573.46,5450.4,61873,36,4,10,1.01,0,2
94.57,5206.2,79873.36,28.97,4806.94,5649.5,76176,60,4,7,1.22,0,2
39.3,2358.83,2050008.42,24.27,1232.79,4408.76,11806,24,1,4,0.42,0,1
0.0,2259.29,5260649.42,30.98,339.29,7112.41,14577,24,1,8,0.54,0,0
64.45,4155.88,2182962.44,13.5,2450.46,5048.85,20912,48,2,3,0.42,0,2
13.78,2345.11,4088072.14,24.62,292.53,5211.02,24272,60,1,5,0.86,0,0
63.27,2377.98,762748.41,32.23,384.96,3204.08,23753,36,3,9,0.83,0,2
96.98,5161.61,24367.78,19.71,5006.38,5371.48,51388,60,4,4,0.83,0,2
55.22,4789.37,4599106.88,52.99,330.63,8183.03,28414,12,2,9,0.49,0,1
87.57,2070.35,66221.06,17.1,1765.42,2374.59,13958,48,3,4,0.56,0,2
79.46,2595.07,284220.81,15.46,1782.47,3501.94,15815,48,3,10,0.51,0,2
34.09,2511.54,2740053.91,16.12,438.94,4296.56,11844,36,1,5,0.39,0,1
28.24,2478.3,3162371.04,13.91,300.0,5390.45,9943,36,1,12,0.33,0,1
56.53,4925.83,4584694.92,16.24,2484.35,7110.97,29813,48,2,4,0.5,0,2
63.8,3067.86,1233686.68,4.01,1572.7,4612.55,4423,48,1,9,0.12,0,2
12.73,2167.08,3576519.58,94.93,259.16,5955.06,22911,12,1,12,0.88,0,0
33.76,3342.77,4903089.25,17.08,698.79,6708.19,24533,60,1,12,0.61,0,1
38.17,2948.42,3323734.76,12.78,316.81,6277.84,16557,60,2,10,0.47,0,1
55.77,2390.67,1118141.11,71.06,776.64,3563.35,36816,24,3,6,1.28,0,0
63.29,2316.04,722781.39,109.79,328.88,3236.16,28924,12,3,9,1.04,0,0
26.82,1828.08,1789547.49,26.15,268.37,3734.73,13986,36,1,5,0.64,0,0
24.19,2270.39,2962156.76,15.57,300.0,5039.03,14862,60,1,12,0.55,0,1
38.61,2799.26,2953561.85,20.34,300.0,4588.53,20835,48,1,5,0.62,0,1
75.74,2374.87,331911.73,14.88,1530.92,3198.84,13935,48,3,11,0.49,0,2
40.57,2168.77,1661099.46,20.04,218.52,3839.66,15619,48,1,10,0.6,0,1
9.53,2423.27,4806113.79,5.48,300.0,7114.99,5709,60,1,11,0.2,0,0
44.27,2851.64,2525426.45,42.48,1370.01,5237.02,13422,12,1,7,0.39,0,1
0.0,2842.44,8198300.46,6.09,300.0,9386.22,7438,60,1,9,0.22,0,0
38.69,1990.21,1488744.2,8.85,719.65,3597.51,6442,48,1,4,0.27,0,1
69.97,2595.93,607888.49,42.85,1637.03,3623.98,24108,24,3,5,0.77,0,1
39.29,2433.06,2182123.24,62.36,509.37,4721.52,16810,12,1,9,0.58,0,0
94.14,5046.03,87308.92,89.08,4679.74,5618.76,51952,12,4,10,0.86,0,0
16.74,2205.43,3372011.89,24.34,757.66,4270.95,6010,12,2,3,0.23,0,0
81.18,2821.92,282010.71,102.55,2288.1,4053.74,32918,12,3,10,0.97,0,0
92.59,5003.33,137524.58,46.17,4363.44,5395.28,26695,12,4,8,0.44,0,2
69.86,2304.79,482528.84,16.43,617.36,3469.23,17823,60,3,12,0.64,0,2
78.66,2626.46,314267.97,20.6,1792.58,3412.79,11725,24,3,9,0.37,0,2
50.68,2465.89,1478806.83,17.72,273.89,3680.04,4840,12,1,6,0.16,0,2
92.5,4995.63,140489.35,30.73,4596.21,5581.68,77534,60,4,6,1.29,0,2
57.72,3868.94,2676227.85,21.72,738.75,5497.46,36931,60,2,6,0.8,0,2
93.9,5116.56,97332.4,27.28,4707.64,5569.96,70481,60,4,6,1.15,0,2
25.1,2409.31,3256688.91,13.49,236.28,4694.84,13973,60,1,9,0.48,0,0
43.86,2899.51,2649472.11,14.97,521.94,5171.96,15879,48,1,9,0.46,0,1
95.32,5090.43,56729.22,54.83,4895.2,5551.46,62342,24,4,7,1.02,0,1
67.1,2580.92,720838.16,6.85,1859.32,3526.37,3830,24,3,4,0.12,0,2
62.68,3634.68,1840465.02,35.8,1830.76,5591.38,27370,24,2,5,0.63,0,2
14.92,2476.49,4439692.0,19.13,300.0,5301.88,20824,60,2,9,0.7,0,0
1.01,2678.13,7028392.79,8.24,227.59,5747.32,9484,60,1,4,0.3,0,0
82.24,2985.54,281109.68,33.33,2417.53,3467.37,39232,48,3,3,1.1,0,2
39.71,3998.14,5810790.29,4.61,616.46,7407.7,8104,60,2,7,0.17,0,1
94.98,4978.22,62366.27,26.05,4603.99,5508.52,42002,36,4,10,0.7,0,2
57.79,1847.51,608251.3,47.62,446.02,2956.03,19064,24,3,11,0.86,0,0
59.97,2208.79,781589.26,140.28,338.88,3304.27,35245,12,3,9,1.33,0,0
21.15,2550.01,4043275.25,34.95,597.47,5152.01,18561,24,1,4,0.61,0,1
73.44,1959.71,270988.56,36.41,1418.12,2660.28,22115,36,3,6,0.94,0,2
73.2,2346.64,395378.15,32.02,1551.29,3037.02,16284,24,3,4,0.58,0,2
28.41,1765.51,1597337.81,78.32,294.57,4145.26,15320,12,1,8,0.72,0,0
37.64,2172.63,1835742.43,14.23,626.69,3153.7,9045,36,1,3,0.35,0,1
95.21,5008.63,57453.61,34.95,4672.88,5423.28,39100,24,4,7,0.65,0,2
85.36,2629.16,148203.81,12.65,2132.54,3071.88,3783,12,3,4,0.12,0,2
22.07,2381.52,3444032.4,74.87,238.68,4150.71,19962,12,2,4,0.7,0,0
52.09,2647.17,1608687.71,5.88,754.48,3440.19,5798,48,2,4,0.18,0,1
46.83,2631.14,1957258.7,10.09,571.51,4698.56,7662,36,1,9,0.24,0,1
92.64,5187.61,145747.3,19.24,4641.91,5532.59,41670,48,4,4,0.67,0,2
34.22,3314.53,4754032.74,14.99,1658.76,5784.93,14533,36,1,3,0.37,0,1
15.37,2575.25,4750072.42,13.3,300.0,5608.68,12538,48,1,11,0.41,0,0
17.37,2749.95,5163093.4,7.78,818.07,5253.41,9189,60,1,3,0.28,0,0
77.58,2555.36,328128.96,15.38,1836.58,3286.19,18502,60,3,5,0.6,0,2
25.92,2836.86,4416539.67,66.93,339.57,6408.05,39936,24,2,12,1.17,0,0
88.72,2434.97,75442.89,19.39,2014.24,2827.77,14630,36,3,8,0.5,0,2
56.92,2959.4,1625186.33,6.22,294.5,5197.97,5310,36,1,12,0.15,0,2
0.0,1029.12,1641004.93,47.82,201.08,3285.89,14398,36,1,5,1.17,0,0
73.14,6067.91,2656720.24,3.05,4276.1,7462.6,7966,60,1,3,0.11,0,2
22.25,1011.79,618845.93,86.64,300.0,1914.65,18258,24,1,4,1.5,0,0
92.61,4953.05,134068.17,111.0,4406.21,5622.22,63540,12,4,8,1.07,0,0
66.57,2367.97,626719.0,37.82,981.83,3675.01,35314,48,3,9,1.24,0,2
95.14,5013.66,59465.29,4.7,4549.11,5325.74,7631,36,4,7,0.13,0,2
96.99,5060.01,23229.12,116.75,4889.12,5337.82,68273,12,4,8,1.12,0,0
0.0,1656.27,4193334.49,22.06,202.29,5748.88,10692,36,1,11,0.54,0,0
51.17,4435.81,4692361.57,7.59,2717.66,7506.62,12104,48,1,4,0.23,0,2
83.49,3284.26,293859.41,12.0,2503.99,3767.82,14157,48,1,5,0.36,0,2
50.41,3559.95,3116501.05,9.4,300.0,5540.79,7039,24,2,12,0.16,0,2
42.21,2487.37,2066047.62,10.88,542.73,4229.69,9721,48,1,12,0.33,0,1
93.95,2956.4,31969.53,4.97,2710.87,3213.35,5796,48,3,5,0.16,0,2
21.97,2094.52,2671066.94,53.49,533.82,5140.3,12477,12,1,7,0.5,0,0
48.56,1771.35,830282.58,42.65,552.76,2583.22,15580,24,1,4,0.73,0,0
59.16,3028.33,1529242.48,8.74,1365.82,4318.49,11374,60,1,4,0.31,0,2
9.01,1676.5,2326947.61,93.72,300.0,4658.95,17500,12,1,12,0.87,0,0
36.29,3653.19,5416398.85,86.1,300.0,6740.92,35218,12,2,7,0.8,0,0
61.29,3882.05,2258790.48,5.74,2016.73,5477.89,8158,48,1,4,0.18,0,2
30.7,3131.01,4707966.06,55.83,625.74,4409.85,36768,24,2,3,0.98,0,0
7.28,2404.74,4971087.14,5.89,218.34,8519.32,2948,24,1,12,0.1,0,0
38.79,2575.82,2486138.12,8.3,543.35,5242.06,7819,48,1,10,0.25,0,1
79.44,2368.92,237163.69,22.09,1692.48,3024.63,20634,48,3,6,0.73,0,2
76.17,2633.04,393840.83,6.23,1036.71,3353.65,3554,24,3,12,0.11,0,2
51.12,2554.04,1558415.9,18.91,238.3,4605.83,5352,12,1,12,0.17,0,1
47.27,3071.61,2623447.88,9.5,1302.72,6114.44,12825,60,2,6,0.35,0,1
77.1,2456.77,316582.85,46.75,1816.7,2873.32,35595,36,3,3,1.21,0,1
93.6,4951.74,100466.82,72.31,4533.87,5492.8,79978,24,4,12,1.35,0,0
43.09,2433.29,1917321.35,10.24,413.17,3757.59,10475,60,1,5,0.36,0,1
40.29,2407.55,2066720.76,34.59,300.0,4833.48,24713,36,2,9,0.86,0,1
46.81,2717.4,2089111.66,12.06,320.18,4471.48,11776,48,1,11,0.36,0,1
79.92,2557.63,263784.9,23.38,1756.54,3429.41,6801,12,3,8,0.22,0,2
31.83,2329.01,2521027.8,18.18,319.65,5034.8,15218,48,1,9,0.54,0,1
72.54,2393.16,431908.01,34.47,1514.09,3496.88,25567,36,3,6,0.89,0,2
54.72,3507.8,2522643.29,24.06,1231.7,5806.96,37097,60,2,10,0.88,0,2
94.57,4906.81,70874.99,31.39,4622.73,5296.2,34402,24,4,6,0.58,0,2
6.82,2089.8,3791974.92,22.22,388.51,5934.31,19522,60,1,7,0.78,0,0
56.07,3300.3,2101961.3,23.88,2263.83,5835.41,8733,12,1,5,0.22,0,2
66.38,2368.48,634185.96,8.86,1172.88,3420.06,9875,60,3,9,0.35,0,2
27.32,1816.04,1742028.15,36.06,253.4,3438.83,7255,12,1,7,0.33,0,0
34.36,2804.78,3389875.79,4.2,634.15,5506.52,4951,60,1,5,0.15,0,1
38.25,3016.8,3470396.44,18.6,283.04,6171.41,6282,12,2,10,0.17,0,0
79.45,2618.19,289493.36,25.6,2217.97,3759.83,26430,48,3,8,0.84,0,2
28.02,2339.3,2835014.46,32.79,300.0,4929.4,15819,24,1,10,0.56,0,1
92.28,4869.04,141434.16,33.6,4408.97,5267.78,68318,48,4,5,1.17,0,2
30.01,3046.28,4545348.61,32.33,300.0,6952.88,20514,24,1,12,0.56,0,0
63.31,3403.32,1558947.44,3.36,2621.76,4843.3,2381,24,1,3,0.06,0,2
74.88,2147.2,290852.12,52.93,1629.29,2718.18,35220,36,3,4,1.37,0,1
